title,address,floor,madori,fee /yen,management_fee /yen,deposit /yen,gratuity /yen,menseki /m2
ロイジェント九段,東京都千代田区九段北１,2階,1K,151000,0,151000,0,30.4
ロイジェント九段,東京都千代田区九段北１,5階,1K,152000,0,152000,0,29.43
ロイジェント九段,東京都千代田区九段北１,10階,2LDK,292000,0,292000,292000,61.33
KWレジデンス麹町,東京都千代田区麹町３,6階,1K,162000,15000,162000,162000,33.1
KWレジデンス麹町,東京都千代田区麹町３,7階,1K,162000,15000,162000,162000,33.1
KWレジデンス麹町,東京都千代田区麹町３,5階,1LDK,229000,20000,229000,229000,50.56
KWレジデンス麹町,東京都千代田区麹町３,10階,2LDK,532000,20000,532000,532000,82.71
KWレジデンス麹町,東京都千代田区麹町３,12階,2LDK,533000,20000,533000,533000,82.71
ピークス神田,東京都千代田区神田西福田町,3階,1LDK,152000,10000,152000,0,35.74
ピークス神田,東京都千代田区神田西福田町,14階,1LDK,182000,10000,182000,0,37.64
ピークス神田,東京都千代田区神田西福田町,13階,1LDK,183000,10000,183000,0,37.64
東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田多町２,6階,1LDK,185000,15000,185000,185000,35.43
東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田多町２,10階,3LDK,379000,20000,0,379000,61.89
東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田多町２,10階,3LDK,389000,20000,0,389000,61.89
東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田多町２,12階,3LDK,409000,20000,0,409000,61.89
パークリュクス神田,東京都千代田区神田多町２,10階,3LDK,409000,20000,0,409000,61.89
Ｌｅ　Ｎｉｄ　ＫＡＮＤＡ（ルニ神田）,東京都千代田区神田北乗物町,8階,1LDK,200000,10000,0,0,40.42
シュトラーレ四番町,東京都千代田区四番町,1階,1LDK,228000,4400,0,228000,59.12
市ヶ谷スクエアレジデンス,東京都千代田区九段北４,11階,2LDK,270000,0,270000,270000,52.14
市ヶ谷スクエアレジデンス,東京都千代田区九段北４,10階,2LDK,295000,0,295000,295000,62.19
市ヶ谷スクエアレジデンス,東京都千代田区九段北４,10階,2LDK,298000,0,298000,298000,62.19
ハーモニーレジデンス秋葉原,東京都千代田区岩本町２,3階,1K,97000,10000,0,97000,25.47
ハーモニーレジデンス秋葉原,東京都千代田区岩本町２,2階,1LDK,150000,10000,0,150000,40.34
ハーモニーレジデンス秋葉原,東京都千代田区岩本町２,2階,1LDK,153000,10000,0,153000,40.34
ＪＲ山手線 神田駅 14階建 築7年,東京都千代田区神田西福田町,12階,1LDK,180000,10000,180000,0,40.13
ＪＲ山手線 神田駅 14階建 築7年,東京都千代田区神田西福田町,11階,1LDK,182000,10000,182000,0,37.64
ＪＲ山手線 神田駅 13階建 築19年,東京都千代田区岩本町２,3階,ワンルーム,95000,10000,95000,0,24.49
